category,topic,question,keywords
基礎,フロントエンドアーキテクチャとは何か,画面を作るだけではなく変更し続けるために何を設計するのか,責務分離・依存関係・変更容易性・設計
状態管理,状態管理はなぜ複雑になるのか,同じデータを複数の画面や操作が扱うと何が難しくなるのか,State・Server State・Client State・同期
責務分離,UIコンポーネントとドメインロジックはどう分けるべきか,見た目の部品に業務ルールを混ぜるとなぜ変更しにくくなるのか,Presentational・Container・Domain Logic・責務
フォーム,フォーム設計はなぜフロントエンドの難所なのか,入力と検証と送信が絡むとUIはなぜ複雑になるのか,Validation・Error Handling・Dirty State・Submit
API,APIとの境界はどこに置くべきか,バックエンドのデータ構造をそのまま画面に持ち込むと何が起きるのか,API Client・Adapter・DTO・境界
ページ設計,ページコンポーネントはどこまで責務を持つべきか,ページがデータ取得も表示も状態も抱えると何が問題になるのか,Page Component・Composition・責務・肥大化
再利用,再利用しやすいコンポーネントとは何か,何度も使える部品と何にでも使える部品はどう違うのか,再利用性・抽象化・Props・具体性
テスト,テストしやすいフロントエンドとは何か,テストが書きにくいUIにはどんな設計上の問題が隠れているのか,Unit Test・Integration Test・Mock・副作用
性能,パフォーマンス改善はどこから考えるべきか,速くする前にどの遅さを測るべきなのか,Core Web Vitals・Rendering・Bundle・計測
負債,技術的負債はフロントエンドでどう蓄積するのか,画面単位の小さな妥協がなぜ後から大きな制約になるのか,技術的負債・密結合・重複・改修コスト
